"asset_id","source_name","source_locator","classification","archive_path","sha256","bytes","verification","rights_privacy"
"make-online","Figma Make Visual-Design-Specification-Plan","https://www.figma.com/make/IIunappOuZk1JYMVT7uCuL/Visual-Design-Specification-Plan","VERIFIED_GP22_SOURCE","","","","Read-only identity and 122-resource inventory verified 2026-08-24","External editable source; no source content or temporary URL committed"
"design-online","Figma Design GP22","https://www.figma.com/design/MIUgoK0YUwDjTCJpGI6W1o/GP22?node-id=0-1","VERIFIED_GP22_SOURCE","","","","Page, top frame, node map, counts, and zero local style/variable collections verified 2026-08-24","External inspectable canvas; project-authored design"
"published-preview","Visual Design Specification Plan published preview","https://revise-body-79291535.figma.site","EXTERNAL_SOURCE_ONLY","","","","Public title and visible GP22 Version 22 structure verified 2026-08-24","Presentation preview only; not used as permanent asset host"
"make-container","visual-design-spec-plan.make","controlled external source container","VERIFIED_GP22_SOURCE","","1BFAA51DF5FBE7B6EF69F10450BECCCEDC2797EE5ADB7236E1E938EF2ADEF807","1805454","Byte size, SHA-256, container entries, and meta.json verified 2026-08-24","Excluded: binary design source includes AI conversation, user/thread metadata, and workspace paths"
"design-container","GP22.fig","controlled external source container","VERIFIED_GP22_SOURCE","","A7038FDE270E763F697D3556F6C5BF0C186D6EFB34A21D0D6B5F3C3B08953C7F","1651359","Byte size, SHA-256, container entries, and meta.json verified 2026-08-24","Excluded binary design source; fingerprint retained"
"generated-code-package","Visual Design Specification Plan.zip","historical controlled external package","EXTERNAL_SOURCE_ONLY","","892913EE62407F550BDC4079101542B847A470006D2C7661D656CB3B40A1F361","277443","Existing approved fingerprint preserved; file unavailable for 2026-08-24 re-hash","Not committed; generated code is reference only"
"cluster-render","Cluster node 1:48","https://www.figma.com/design/MIUgoK0YUwDjTCJpGI6W1o/GP22?node-id=1-48","VERIFIED_GP22_EXPORT","screenshots/cluster-node-1-48.png","43D13548D8CAD46D4B7BC0A15523F4258D0131DD76558F80316F2C8CA146689F","85721","Direct PNG render from verified Figma node; dimensions and content visually inspected","Project interface mockup only; no raw personal media or font binary"
"hud-render","HUD node 1:159","https://www.figma.com/design/MIUgoK0YUwDjTCJpGI6W1o/GP22?node-id=1-159","VERIFIED_GP22_EXPORT","screenshots/hud-node-1-159.png","B0C3079A368C535CBE3140B21C5770053F9791A431B8A1EC8BD549A4E7A139BA","84955","Direct PNG render from verified Figma node; dimensions and content visually inspected","Project interface mockup only; no raw personal media or font binary"
"center-render","Center node 1:220","https://www.figma.com/design/MIUgoK0YUwDjTCJpGI6W1o/GP22?node-id=1-220","VERIFIED_GP22_EXPORT","screenshots/center-node-1-220.png","D04A842E0A3EE27F0D701DD78B9F789C84D09C6F3F8FC1E24AE479A2AC4DF582","66242","Direct PNG render from verified Figma node; dimensions and content visually inspected","Project interface mockup only; no raw personal media or font binary"
"passenger-render","Passenger node 1:418","https://www.figma.com/design/MIUgoK0YUwDjTCJpGI6W1o/GP22?node-id=1-418","VERIFIED_GP22_EXPORT","screenshots/passenger-node-1-418.png","040C9A687F469A7929735FB686E21BB28BE1AB9DD936BCA8E6D56B8F55812439","315978","Direct PNG render from verified Figma node; dimensions and content visually inspected","Project interface mockup only; no raw personal media or font binary"
"storyboard-render","Storyboard node 1:563","https://www.figma.com/design/MIUgoK0YUwDjTCJpGI6W1o/GP22?node-id=1-563","VERIFIED_GP22_EXPORT","screenshots/storyboard-node-1-563.png","76D6BAF016C35A72767A14CADD160EFBD5B4B98435351B34BA1839EE75F8FF9D","154984","Direct PNG render from verified Figma node; dimensions and content visually inspected","Project interface mockup only; no raw personal media or font binary"
"design-spec-render","Extended Design Spec node 1:11373","https://www.figma.com/design/MIUgoK0YUwDjTCJpGI6W1o/GP22?node-id=1-11373","VERIFIED_GP22_EXPORT","screenshots/design-spec-node-1-11373.png","AD7740178A0C3C88B5CF2EAC7C1DAEBB7A6B70A547EE3F9C2848B799AD10509A","407319","Direct PNG render from verified Figma node; dimensions and content visually inspected","Project interface mockup only; no raw personal media or font binary"
"design-spec-json","Normalized GP22 Extended Design Spec","Figma Design node 1:11373 visible text","VERIFIED_GP22_DERIVED_SPEC","tokens/gp22-design-spec.json","E337EA86BBD64A062E1EB0EFFDBEBB6724847BC39FBE7A123581045ED70FF19E","7450","Color, typography, canvas, spacing, radius, state, alert, and motion rows extracted read-only","Facts-only derived specification; not a Variables export or runtime implementation"
"make-resource-index","Figma Make resource names index","Figma Make file key IIunappOuZk1JYMVT7uCuL","EXTERNAL_SOURCE_ONLY","external-sources/figma-make-resource-index.json","E093C9C89DE4E898C9DF3F44A90D1D36675F865B4B5E935F1AC208E4B0824E04","5780","Names-only metadata record for 122 live external resources; not a design specification","Names only; source content and temporary MCP URLs excluded"
